step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,predicted_fraud_probability,fraud_risk_score,model_risk_segment,investigation_priority_rank
742,TRANSFER,1819543.69,C2089752665,1819543.69,0.0,C112833674,0.0,0.0,1,0,1.0,1000.0,Critical,3933
740,TRANSFER,1755647.81,C507031767,1755647.81,0.0,C692082136,0.0,0.0,1,0,1.0,1000.0,Critical,3911
742,TRANSFER,4009058.39,C1044665079,4009058.39,0.0,C750074708,0.0,0.0,1,0,1.0,1000.0,Critical,3929
736,CASH_OUT,3912252.81,C2015532834,3912252.81,0.0,C1094245797,0.0,3912252.81,1,0,1.0,1000.0,Critical,3876
742,CASH_OUT,652993.91,C1614818636,652993.91,0.0,C362803701,0.0,652993.91,1,0,1.0,1000.0,Critical,3932
736,TRANSFER,3912252.81,C1027836426,3912252.81,0.0,C1420360945,0.0,0.0,1,0,1.0,1000.0,Critical,3875
736,TRANSFER,274799.58,C1459244245,274799.58,0.0,C957617194,0.0,0.0,1,0,1.0,1000.0,Critical,3871
736,CASH_OUT,274799.58,C1263652542,274799.58,0.0,C1406817938,0.0,274799.58,1,0,1.0,1000.0,Critical,3872
735,TRANSFER,417103.68,C336307904,417103.68,0.0,C1155915285,0.0,0.0,1,0,1.0,1000.0,Critical,3858
735,CASH_OUT,417103.68,C1450763584,417103.68,0.0,C1377830519,34232.06,451335.75,1,0,1.0,1000.0,Critical,3859
734,CASH_OUT,10000000.0,C131420902,10000000.0,0.0,C635621973,2571402.25,12571402.25,1,0,1.0,1000.0,Critical,3846
735,CASH_OUT,123146.28,C981071931,123146.28,0.0,C64963279,0.0,123146.28,1,0,1.0,1000.0,Critical,3863
736,TRANSFER,53315.31,C914459666,53315.31,0.0,C73348302,0.0,0.0,1,0,1.0,1000.0,Critical,3864
736,CASH_OUT,53315.31,C810591075,53315.31,0.0,C1614619549,0.0,53315.31,1,0,1.0,1000.0,Critical,3865
734,TRANSFER,1810044.85,C1987403065,1810044.85,0.0,C846200321,0.0,0.0,1,0,1.0,1000.0,Critical,3847
734,CASH_OUT,1810044.85,C491326843,1810044.85,0.0,C1833702412,1005720.69,2815765.54,1,0,1.0,1000.0,Critical,3848
734,TRANSFER,2079746.13,C303008218,2079746.13,0.0,C1140317769,0.0,0.0,1,0,1.0,1000.0,Critical,3849
734,CASH_OUT,2079746.13,C1063299871,2079746.13,0.0,C884992368,0.0,2079746.13,1,0,1.0,1000.0,Critical,3850
741,CASH_OUT,10000000.0,C677394894,10000000.0,0.0,C1866259073,0.0,10000000.0,1,0,1.0,1000.0,Critical,3915
733,CASH_OUT,905919.58,C845679365,905919.58,0.0,C232109757,82944.63,988864.21,1,0,1.0,1000.0,Critical,3838
732,TRANSFER,311832.17,C65054182,311832.17,0.0,C833307608,0.0,0.0,1,0,1.0,1000.0,Critical,3829
741,CASH_OUT,10000000.0,C1668034607,10000000.0,0.0,C1250722530,192912.98,10192912.98,1,0,1.0,1000.0,Critical,3916
743,CASH_OUT,339682.13,C786484425,339682.13,0.0,C776919290,0.0,339682.13,1,0,1.0,1000.0,Critical,3946
732,CASH_OUT,311832.17,C269908889,311832.17,0.0,C1665325568,0.0,311832.17,1,0,1.0,1000.0,Critical,3830
740,CASH_OUT,1312694.5,C1078953751,1312694.5,0.0,C1920187579,0.0,1312694.5,1,0,1.0,1000.0,Critical,3910
742,CASH_OUT,258355.42,C1113162093,258355.42,0.0,C797688696,25176.67,283532.09,1,0,1.0,1000.0,Critical,3940
740,CASH_OUT,1755647.81,C1724432558,1755647.81,0.0,C22170584,2930014.23,4685662.04,1,0,1.0,1000.0,Critical,3912
741,CASH_OUT,10000000.0,C421958672,10000000.0,0.0,C2034016962,0.0,10000000.0,1,0,1.0,1000.0,Critical,3913
741,CASH_OUT,10000000.0,C1647199421,10000000.0,0.0,C2077145577,35922.97,10035922.97,1,0,1.0,1000.0,Critical,3914
470,TRANSFER,2198220.97,C1393439924,2198220.97,0.0,C851338379,0.0,0.0,1,0,1.0,1000.0,Critical,1344
739,CASH_OUT,8116.53,C564539602,8116.53,0.0,C1935865739,7638.26,15754.79,1,0,1.0,1000.0,Critical,3904
739,TRANSFER,194521.28,C1696012302,194521.28,0.0,C411128068,0.0,0.0,1,0,1.0,1000.0,Critical,3905
739,CASH_OUT,194521.28,C1558118886,194521.28,0.0,C987019949,7203373.74,7397895.02,1,0,1.0,1000.0,Critical,3906
740,TRANSFER,748139.48,C1183186026,748139.48,0.0,C1620658775,0.0,0.0,1,0,1.0,1000.0,Critical,3907
740,CASH_OUT,748139.48,C959562247,748139.48,0.0,C1768725891,0.0,748139.48,1,0,1.0,1000.0,Critical,3908
740,TRANSFER,1312694.5,C1681615431,1312694.5,0.0,C492082350,0.0,0.0,1,0,1.0,1000.0,Critical,3909
731,CASH_OUT,147186.94,C1225675649,147186.94,0.0,C1599626479,15982.05,163168.99,1,0,1.0,1000.0,Critical,3815
731,TRANSFER,302227.56,C648990331,302227.56,0.0,C1204258741,0.0,0.0,1,0,1.0,1000.0,Critical,3816
733,TRANSFER,105903.18,C565737303,105903.18,0.0,C350986885,0.0,0.0,1,0,1.0,1000.0,Critical,3842
733,CASH_OUT,105903.18,C2086760344,105903.18,0.0,C1155351357,350240.31,456143.49,1,0,1.0,1000.0,Critical,3843
737,TRANSFER,2194533.79,C871130115,2194533.79,0.0,C1027984317,0.0,0.0,1,0,1.0,1000.0,Critical,3881
737,CASH_OUT,2194533.79,C1907033447,2194533.79,0.0,C1163998762,272242.91,2466776.7,1,0,1.0,1000.0,Critical,3882
737,TRANSFER,190100.29,C369775274,190100.29,0.0,C1048847167,0.0,0.0,1,0,1.0,1000.0,Critical,3877
737,CASH_OUT,190100.29,C2010561147,190100.29,0.0,C493481866,848487.62,1038587.91,1,0,1.0,1000.0,Critical,3878
737,TRANSFER,946705.53,C1524194171,946705.53,0.0,C357888969,0.0,0.0,1,0,1.0,1000.0,Critical,3879
737,CASH_OUT,946705.53,C2000156493,946705.53,0.0,C466527004,277951.15,1224656.68,1,0,1.0,1000.0,Critical,3880
737,CASH_OUT,167606.49,C696026207,167606.49,0.0,C1386785907,2315864.75,2483471.24,1,0,1.0,1000.0,Critical,3884
743,TRANSFER,850002.52,C1685995037,850002.52,0.0,C2080388513,0.0,0.0,1,0,1.0,1000.0,Critical,3949
743,CASH_OUT,6311409.28,C1162922333,6311409.28,0.0,C1365125890,68488.84,6379898.11,1,0,1.0,1000.0,Critical,3948
742,TRANSFER,258355.42,C1226129332,258355.42,0.0,C1744173808,0.0,0.0,1,0,1.0,1000.0,Critical,3939
732,CASH_OUT,417129.11,C1251324485,417129.11,0.0,C1197787455,683101.34,1100230.45,1,0,1.0,1000.0,Critical,3834
732,CASH_OUT,1157971.07,C1123625591,1157971.07,0.0,C355172230,2974237.06,4132208.13,1,0,1.0,1000.0,Critical,3836
742,TRANSFER,303846.74,C959102961,303846.74,0.0,C114421319,0.0,0.0,1,0,1.0,1000.0,Critical,3937
733,TRANSFER,438859.1,C482285608,438859.1,0.0,C1495765075,0.0,0.0,1,0,1.0,1000.0,Critical,3839
733,TRANSFER,1548376.44,C1119842359,1548376.44,0.0,C826187044,0.0,0.0,1,0,1.0,1000.0,Critical,3840
733,CASH_OUT,1548376.44,C1168267667,1548376.44,0.0,C2079585143,2317541.56,3865918.0,1,0,1.0,1000.0,Critical,3841
731,TRANSFER,81677.17,C712250463,81677.17,0.0,C1291785655,0.0,0.0,1,0,1.0,1000.0,Critical,3820
731,CASH_OUT,81677.17,C1623831712,81677.17,0.0,C538679361,130887.69,212564.86,1,0,1.0,1000.0,Critical,3821
730,TRANSFER,3191058.32,C1884883180,3191058.32,0.0,C906779007,0.0,0.0,1,0,1.0,1000.0,Critical,3808
737,TRANSFER,167606.49,C1631161002,167606.49,0.0,C2099952089,0.0,0.0,1,0,1.0,1000.0,Critical,3883
730,TRANSFER,156396.46,C696760428,156396.46,0.0,C577061559,0.0,0.0,1,0,1.0,1000.0,Critical,3803
731,TRANSFER,219275.19,C868020518,219275.19,0.0,C1828774978,0.0,0.0,1,0,1.0,1000.0,Critical,3825
731,CASH_OUT,219275.19,C1950153528,219275.19,0.0,C1184845365,743229.99,962505.19,1,0,1.0,1000.0,Critical,3826
732,TRANSFER,59677.48,C1489751550,59677.48,0.0,C934061897,0.0,0.0,1,0,1.0,1000.0,Critical,3827
732,CASH_OUT,59677.48,C1468095473,59677.48,0.0,C615508627,2249904.97,2309582.45,1,0,1.0,1000.0,Critical,3828
731,TRANSFER,147186.94,C1013069669,147186.94,0.0,C1655602731,0.0,0.0,1,0,1.0,1000.0,Critical,3814
336,TRANSFER,964388.1,C1529791682,964388.1,0.0,C215273988,0.0,0.0,1,0,1.0,1000.0,Critical,1
733,TRANSFER,905919.58,C1435012203,905919.58,0.0,C450820106,0.0,0.0,1,0,1.0,1000.0,Critical,3837
736,TRANSFER,1314660.84,C1460351581,1314660.84,0.0,C898200380,0.0,0.0,1,0,1.0,1000.0,Critical,3867
735,CASH_OUT,243459.96,C1148037845,243459.96,0.0,C387251817,9459523.04,9702983.01,1,0,1.0,1000.0,Critical,3854
735,TRANSFER,256417.06,C383197535,256417.06,0.0,C316531144,0.0,0.0,1,0,1.0,1000.0,Critical,3855
735,CASH_OUT,256417.06,C1441986673,256417.06,0.0,C1500556384,811137.89,1067554.95,1,0,1.0,1000.0,Critical,3856
730,TRANSFER,403.56,C1494188706,403.56,0.0,C1175598908,0.0,0.0,1,0,1.0,1000.0,Critical,3805
730,CASH_OUT,403.56,C1790729382,403.56,0.0,C1460854172,1124708.32,1125111.88,1,0,1.0,1000.0,Critical,3806
730,TRANSFER,2154005.71,C507292245,2154005.71,0.0,C2129452357,0.0,0.0,1,0,1.0,1000.0,Critical,3807
730,CASH_OUT,185488.23,C1153115525,185488.23,0.0,C1531209289,0.0,185488.23,1,0,1.0,1000.0,Critical,3811
731,TRANSFER,31887.18,C1764583028,31887.18,0.0,C252274322,0.0,0.0,1,0,1.0,1000.0,Critical,3812
731,CASH_OUT,31887.18,C30896720,31887.18,0.0,C1159359491,4584085.52,4615972.7,1,0,1.0,1000.0,Critical,3813
731,CASH_OUT,302227.56,C1814350435,302227.56,0.0,C51409599,1125769.87,1427997.43,1,0,1.0,1000.0,Critical,3817
731,CASH_OUT,219934.26,C2054799485,219934.26,0.0,C997585991,0.0,219934.26,1,0,1.0,1000.0,Critical,3819
734,TRANSFER,23912.2,C1790385148,23912.2,0.0,C1671472479,0.0,0.0,1,0,1.0,1000.0,Critical,3851
735,TRANSFER,243459.96,C97010398,243459.96,0.0,C1660559503,0.0,0.0,1,0,1.0,1000.0,Critical,3853
731,TRANSFER,508929.61,C533095346,508929.61,0.0,C1301226150,0.0,0.0,1,0,1.0,1000.0,Critical,3823
730,TRANSFER,338364.14,C1396691078,338364.14,0.0,C476657096,0.0,0.0,1,0,1.0,1000.0,Critical,3809
731,CASH_OUT,508929.61,C839366750,508929.61,0.0,C1367621087,161576.15,670505.76,1,0,1.0,1000.0,Critical,3824
730,TRANSFER,185488.23,C585645639,185488.23,0.0,C1050859310,0.0,0.0,1,0,1.0,1000.0,Critical,3810
730,CASH_OUT,156396.46,C1659635357,156396.46,0.0,C876852627,842357.16,998753.62,1,0,1.0,1000.0,Critical,3804
394,TRANSFER,147957.23,C1762704986,147957.23,0.0,C1857166842,0.0,0.0,1,0,1.0,1000.0,Critical,564
394,CASH_OUT,147957.23,C1156678910,147957.23,0.0,C1718510079,105718.75,253675.98,1,0,1.0,1000.0,Critical,565
374,TRANSFER,200418.1,C1730154967,200418.1,0.0,C26656347,0.0,0.0,1,0,1.0,1000.0,Critical,376
726,CASH_OUT,9065.44,C2119805225,9065.44,0.0,C1289962694,757856.9,766922.34,1,0,1.0,1000.0,Critical,3766
728,CASH_OUT,252667.75,C1817806739,252667.75,0.0,C84626312,0.0,252667.75,1,0,1.0,1000.0,Critical,3788
728,TRANSFER,287040.14,C601193350,287040.14,0.0,C676682698,0.0,0.0,1,0,1.0,1000.0,Critical,3789
728,CASH_OUT,287040.14,C363126293,287040.14,0.0,C991624495,2153682.82,2440722.97,1,0,1.0,1000.0,Critical,3790
728,CASH_OUT,119143.75,C1983324612,119143.75,0.0,C1263469506,131451.57,250595.32,1,0,1.0,1000.0,Critical,3794
728,TRANSFER,3846781.01,C987072193,3846781.01,0.0,C611870654,0.0,0.0,1,0,1.0,1000.0,Critical,3795
728,CASH_OUT,3846781.01,C2109752289,3846781.01,0.0,C154510923,46052.98,3892833.98,1,0,1.0,1000.0,Critical,3796
589,CASH_OUT,164296.85,C337181561,164296.85,0.0,C701761965,1371866.69,1536163.54,1,0,1.0,1000.0,Critical,2440
727,TRANSFER,69039.64,C922622756,69039.64,0.0,C417851521,0.0,0.0,1,0,1.0,1000.0,Critical,3783
727,CASH_OUT,69039.64,C1130163945,69039.64,0.0,C1975233272,983882.79,1052922.43,1,0,1.0,1000.0,Critical,3784
727,TRANSFER,276298.49,C2044117692,276298.49,0.0,C71460104,0.0,0.0,1,0,1.0,1000.0,Critical,3785
729,CASH_OUT,1102951.39,C1678410175,1102951.39,0.0,C228891434,0.0,1102951.39,1,0,1.0,1000.0,Critical,3798
728,TRANSFER,252667.75,C1221985222,252667.75,0.0,C1246651614,0.0,0.0,1,0,1.0,1000.0,Critical,3787
336,CASH_OUT,964388.1,C186550452,964388.1,0.0,C2061604304,572484.42,1536872.53,1,0,1.0,1000.0,Critical,2
730,TRANSFER,1665334.68,C1901678626,1665334.68,0.0,C223228023,0.0,0.0,1,0,1.0,1000.0,Critical,3802
617,TRANSFER,1013208.77,C45646600,1013208.77,0.0,C1927425831,0.0,0.0,1,0,1.0,1000.0,Critical,2707
617,CASH_OUT,1013208.77,C1132246468,1013208.77,0.0,C2130748212,0.0,1013208.77,1,0,1.0,1000.0,Critical,2708
